,islemci,ekran_karti,ram,depolama,fiyat,satici,url
0,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,14099,gaming.gen.tr,https://www.gaming.gen.tr/urun/220055/mantis-3060-amd-ryzen-5-5500-asus-geforce-dual-rtx-3060-v2-oc-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
1,AMD Ryzen 5 7600X,NVIDIA RTX 3070,16 GB,1 TB,34699,gaming.gen.tr,https://www.gaming.gen.tr/urun/217838/teknoseyir-x670-amd-ryzen-5-7600x-asus-dual-geforce-rtx-3070-gaming-oc-8gb-16gb-ram-1tb-m-2-ssd-gaming-bilgisayar/
2,AMD Ryzen 5 4500,NVIDIA RTX 3060,16 GB,500 GB,13999,gaming.gen.tr,https://www.gaming.gen.tr/urun/217591/prime-4500-amd-ryzen-5-4500-asus-geforce-dual-rtx-3060-v2-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
3,AMD Ryzen 5 7700X,NVIDIA RTX 4080,32 GB,1 TB,65699,gaming.gen.tr,https://www.gaming.gen.tr/urun/215035/elite-4080-amd-ryzen-7-7700x-asus-geforce-tuf-rtx-4080-16gb-oc-32gb-ram-1tb-m-2-ssd-gaming-bilgisayar/
4,AMD Ryzen 5 5600X,NVIDIA RTX 3060 TI,16 GB,500 GB,17699,gaming.gen.tr,https://www.gaming.gen.tr/urun/212613/blade-5600-amd-ryzen-5-5600-asus-geforce-rtx-3060-ti-dual-v2-oc-8gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
5,Intel Core I9 12900KS,NVIDIA RTX 3080 TI,32 GB,500 GB,68999,gaming.gen.tr,https://www.gaming.gen.tr/urun/210088/platinum-3080ti-v1-o-pc-intel-i9-12900ks-asus-tuf-geforce-rtx-3080-ti-oc-12gb-32gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
6,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,15199,gaming.gen.tr,https://www.gaming.gen.tr/urun/208665/prime-3060-intel-i3-12100f-asus-geforce-dual-rtx-3060-v2-12gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
7,AMD Ryzen 5 5600X,AMD RX 6700-XT,16 GB,500 GB,16199,gaming.gen.tr,https://www.gaming.gen.tr/urun/206399/ultima-6700xt-amd-ryzen-5-5600x-asus-radeon-rx-6700-xt-dual-12gb-oc-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
8,Intel Core I5 12400F,AMD RX 6800,16 GB,500 GB,19999,gaming.gen.tr,https://www.gaming.gen.tr/urun/206380/technopat-tn3-intel-i5-12400f-asus-radeon-tuf-rx-6800-gaming-oc-16gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar-2/
9,AMD Ryzen 5 5600X,AMD RX 6800,16 GB,500 GB,20499,gaming.gen.tr,https://www.gaming.gen.tr/urun/204927/mantis-6800-amd-ryzen-5-5600-asus-radeon-tuf-rx-6800-gaming-oc-16gb-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
10,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,500 GB,12999,gaming.gen.tr,https://www.gaming.gen.tr/urun/204910/haqqus-hb4-intel-i3-12100f-asus-dual-geforce-rtx-3050-oc-8gb-gddr6-16gb-ram-500gb-m-2-ssd-gaming-bilgisayar/
